2017-10-24 09:38:55.834330: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX
WARNING:tensorflow:From train.py:163: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
INFO:tensorflow:Training from step: 1 
INFO:tensorflow:Step #1: rate 0.001000, accuracy 4.0%, cross entropy 2.714146
INFO:tensorflow:Step #2: rate 0.001000, accuracy 9.0%, cross entropy 2.566685
INFO:tensorflow:Step #3: rate 0.001000, accuracy 11.0%, cross entropy 2.560963
INFO:tensorflow:Step #4: rate 0.001000, accuracy 14.0%, cross entropy 2.447874
INFO:tensorflow:Step #5: rate 0.001000, accuracy 15.0%, cross entropy 2.456950
INFO:tensorflow:Step #6: rate 0.001000, accuracy 14.0%, cross entropy 2.326062
INFO:tensorflow:Step #7: rate 0.001000, accuracy 8.0%, cross entropy 2.518114
INFO:tensorflow:Step #8: rate 0.001000, accuracy 7.0%, cross entropy 2.483705
INFO:tensorflow:Step #9: rate 0.001000, accuracy 12.0%, cross entropy 2.461635
INFO:tensorflow:Step #10: rate 0.001000, accuracy 13.0%, cross entropy 2.387763
INFO:tensorflow:Step #11: rate 0.001000, accuracy 8.0%, cross entropy 2.544487
INFO:tensorflow:Step #12: rate 0.001000, accuracy 14.0%, cross entropy 2.428181
INFO:tensorflow:Step #13: rate 0.001000, accuracy 11.0%, cross entropy 2.555393
INFO:tensorflow:Step #14: rate 0.001000, accuracy 11.0%, cross entropy 2.434825
INFO:tensorflow:Step #15: rate 0.001000, accuracy 10.0%, cross entropy 2.461553
INFO:tensorflow:Step #16: rate 0.001000, accuracy 10.0%, cross entropy 2.483037
INFO:tensorflow:Step #17: rate 0.001000, accuracy 10.0%, cross entropy 2.429138
INFO:tensorflow:Step #18: rate 0.001000, accuracy 8.0%, cross entropy 2.489599
INFO:tensorflow:Step #19: rate 0.001000, accuracy 12.0%, cross entropy 2.426578
INFO:tensorflow:Step #20: rate 0.001000, accuracy 7.0%, cross entropy 2.568808
INFO:tensorflow:Step #21: rate 0.001000, accuracy 16.0%, cross entropy 2.425552
INFO:tensorflow:Step #22: rate 0.001000, accuracy 19.0%, cross entropy 2.363952
INFO:tensorflow:Step #23: rate 0.001000, accuracy 13.0%, cross entropy 2.489095
INFO:tensorflow:Step #24: rate 0.001000, accuracy 16.0%, cross entropy 2.499629
INFO:tensorflow:Step #25: rate 0.001000, accuracy 12.0%, cross entropy 2.475061
INFO:tensorflow:Step #26: rate 0.001000, accuracy 14.0%, cross entropy 2.411342
INFO:tensorflow:Step #27: rate 0.001000, accuracy 16.0%, cross entropy 2.487727
INFO:tensorflow:Step #28: rate 0.001000, accuracy 12.0%, cross entropy 2.441388
INFO:tensorflow:Step #29: rate 0.001000, accuracy 9.0%, cross entropy 2.455988
INFO:tensorflow:Step #30: rate 0.001000, accuracy 12.0%, cross entropy 2.413949
INFO:tensorflow:Step #31: rate 0.001000, accuracy 10.0%, cross entropy 2.477823
INFO:tensorflow:Step #32: rate 0.001000, accuracy 14.0%, cross entropy 2.449131
INFO:tensorflow:Step #33: rate 0.001000, accuracy 14.0%, cross entropy 2.474237
INFO:tensorflow:Step #34: rate 0.001000, accuracy 20.0%, cross entropy 2.434930
INFO:tensorflow:Step #35: rate 0.001000, accuracy 9.0%, cross entropy 2.472451
INFO:tensorflow:Step #36: rate 0.001000, accuracy 10.0%, cross entropy 2.498544
INFO:tensorflow:Step #37: rate 0.001000, accuracy 11.0%, cross entropy 2.450842
INFO:tensorflow:Step #38: rate 0.001000, accuracy 12.0%, cross entropy 2.450214
INFO:tensorflow:Step #39: rate 0.001000, accuracy 12.0%, cross entropy 2.424493
INFO:tensorflow:Step #40: rate 0.001000, accuracy 9.0%, cross entropy 2.442476
INFO:tensorflow:Step #41: rate 0.001000, accuracy 17.0%, cross entropy 2.387086
INFO:tensorflow:Step #42: rate 0.001000, accuracy 13.0%, cross entropy 2.488166
INFO:tensorflow:Step #43: rate 0.001000, accuracy 21.0%, cross entropy 2.379267
INFO:tensorflow:Step #44: rate 0.001000, accuracy 15.0%, cross entropy 2.447904
INFO:tensorflow:Step #45: rate 0.001000, accuracy 14.0%, cross entropy 2.458920
INFO:tensorflow:Step #46: rate 0.001000, accuracy 12.0%, cross entropy 2.482776
INFO:tensorflow:Step #47: rate 0.001000, accuracy 17.0%, cross entropy 2.459621
INFO:tensorflow:Step #48: rate 0.001000, accuracy 11.0%, cross entropy 2.481373
INFO:tensorflow:Step #49: rate 0.001000, accuracy 13.0%, cross entropy 2.483290
INFO:tensorflow:Step #50: rate 0.001000, accuracy 20.0%, cross entropy 2.372758
INFO:tensorflow:Step #51: rate 0.001000, accuracy 14.0%, cross entropy 2.431762
INFO:tensorflow:Step #52: rate 0.001000, accuracy 10.0%, cross entropy 2.477520
INFO:tensorflow:Step #53: rate 0.001000, accuracy 16.0%, cross entropy 2.423087
INFO:tensorflow:Step #54: rate 0.001000, accuracy 14.0%, cross entropy 2.417578
INFO:tensorflow:Step #55: rate 0.001000, accuracy 14.0%, cross entropy 2.427419
INFO:tensorflow:Step #56: rate 0.001000, accuracy 13.0%, cross entropy 2.355370
INFO:tensorflow:Step #57: rate 0.001000, accuracy 19.0%, cross entropy 2.415271
INFO:tensorflow:Step #58: rate 0.001000, accuracy 17.0%, cross entropy 2.340533
INFO:tensorflow:Step #59: rate 0.001000, accuracy 8.0%, cross entropy 2.482978
INFO:tensorflow:Step #60: rate 0.001000, accuracy 12.0%, cross entropy 2.442502
INFO:tensorflow:Step #61: rate 0.001000, accuracy 18.0%, cross entropy 2.328152
INFO:tensorflow:Step #62: rate 0.001000, accuracy 23.0%, cross entropy 2.427309
INFO:tensorflow:Step #63: rate 0.001000, accuracy 13.0%, cross entropy 2.498062
INFO:tensorflow:Step #64: rate 0.001000, accuracy 16.0%, cross entropy 2.493393
INFO:tensorflow:Step #65: rate 0.001000, accuracy 14.0%, cross entropy 2.386875
INFO:tensorflow:Step #66: rate 0.001000, accuracy 12.0%, cross entropy 2.373393
INFO:tensorflow:Step #67: rate 0.001000, accuracy 13.0%, cross entropy 2.440797
INFO:tensorflow:Step #68: rate 0.001000, accuracy 9.0%, cross entropy 2.466103
INFO:tensorflow:Step #69: rate 0.001000, accuracy 20.0%, cross entropy 2.385087
INFO:tensorflow:Step #70: rate 0.001000, accuracy 18.0%, cross entropy 2.439718
INFO:tensorflow:Step #71: rate 0.001000, accuracy 16.0%, cross entropy 2.450130
INFO:tensorflow:Step #72: rate 0.001000, accuracy 11.0%, cross entropy 2.468344
INFO:tensorflow:Step #73: rate 0.001000, accuracy 20.0%, cross entropy 2.371557
INFO:tensorflow:Step #74: rate 0.001000, accuracy 14.0%, cross entropy 2.399179
INFO:tensorflow:Step #75: rate 0.001000, accuracy 11.0%, cross entropy 2.545373
INFO:tensorflow:Step #76: rate 0.001000, accuracy 9.0%, cross entropy 2.425608
INFO:tensorflow:Step #77: rate 0.001000, accuracy 12.0%, cross entropy 2.392310
INFO:tensorflow:Step #78: rate 0.001000, accuracy 13.0%, cross entropy 2.434001
INFO:tensorflow:Step #79: rate 0.001000, accuracy 21.0%, cross entropy 2.420047
INFO:tensorflow:Step #80: rate 0.001000, accuracy 11.0%, cross entropy 2.448560
INFO:tensorflow:Step #81: rate 0.001000, accuracy 12.0%, cross entropy 2.426844
INFO:tensorflow:Step #82: rate 0.001000, accuracy 16.0%, cross entropy 2.426362
INFO:tensorflow:Step #83: rate 0.001000, accuracy 20.0%, cross entropy 2.376430
INFO:tensorflow:Step #84: rate 0.001000, accuracy 9.0%, cross entropy 2.414482
INFO:tensorflow:Step #85: rate 0.001000, accuracy 11.0%, cross entropy 2.432571
INFO:tensorflow:Step #86: rate 0.001000, accuracy 22.0%, cross entropy 2.381005
INFO:tensorflow:Step #87: rate 0.001000, accuracy 17.0%, cross entropy 2.386214
INFO:tensorflow:Step #88: rate 0.001000, accuracy 17.0%, cross entropy 2.389307
INFO:tensorflow:Step #89: rate 0.001000, accuracy 14.0%, cross entropy 2.402581
INFO:tensorflow:Step #90: rate 0.001000, accuracy 15.0%, cross entropy 2.420367
INFO:tensorflow:Step #91: rate 0.001000, accuracy 13.0%, cross entropy 2.403837
INFO:tensorflow:Step #92: rate 0.001000, accuracy 22.0%, cross entropy 2.366075
INFO:tensorflow:Step #93: rate 0.001000, accuracy 14.0%, cross entropy 2.498296
INFO:tensorflow:Step #94: rate 0.001000, accuracy 13.0%, cross entropy 2.459617
INFO:tensorflow:Step #95: rate 0.001000, accuracy 22.0%, cross entropy 2.374696
INFO:tensorflow:Step #96: rate 0.001000, accuracy 19.0%, cross entropy 2.375199
INFO:tensorflow:Step #97: rate 0.001000, accuracy 14.0%, cross entropy 2.376157
INFO:tensorflow:Step #98: rate 0.001000, accuracy 16.0%, cross entropy 2.435815
INFO:tensorflow:Step #99: rate 0.001000, accuracy 18.0%, cross entropy 2.443936
INFO:tensorflow:Step #100: rate 0.001000, accuracy 19.0%, cross entropy 2.326833
INFO:tensorflow:Saving to "/tmp/speech_commands_train/conv.ckpt-100"
INFO:tensorflow:Step #101: rate 0.001000, accuracy 15.0%, cross entropy 2.424181
INFO:tensorflow:Step #102: rate 0.001000, accuracy 16.0%, cross entropy 2.431391
INFO:tensorflow:Step #103: rate 0.001000, accuracy 18.0%, cross entropy 2.400481
INFO:tensorflow:Step #104: rate 0.001000, accuracy 17.0%, cross entropy 2.307669
INFO:tensorflow:Step #105: rate 0.001000, accuracy 17.0%, cross entropy 2.360713
INFO:tensorflow:Step #106: rate 0.001000, accuracy 22.0%, cross entropy 2.365954
INFO:tensorflow:Step #107: rate 0.001000, accuracy 16.0%, cross entropy 2.412823
INFO:tensorflow:Step #108: rate 0.001000, accuracy 20.0%, cross entropy 2.398150
INFO:tensorflow:Step #109: rate 0.001000, accuracy 16.0%, cross entropy 2.353480
INFO:tensorflow:Step #110: rate 0.001000, accuracy 16.0%, cross entropy 2.384782
INFO:tensorflow:Step #111: rate 0.001000, accuracy 13.0%, cross entropy 2.421741
INFO:tensorflow:Step #112: rate 0.001000, accuracy 18.0%, cross entropy 2.347677
INFO:tensorflow:Step #113: rate 0.001000, accuracy 14.0%, cross entropy 2.390950
INFO:tensorflow:Step #114: rate 0.001000, accuracy 17.0%, cross entropy 2.435433
INFO:tensorflow:Step #115: rate 0.001000, accuracy 20.0%, cross entropy 2.405751
INFO:tensorflow:Step #116: rate 0.001000, accuracy 17.0%, cross entropy 2.373143
INFO:tensorflow:Step #117: rate 0.001000, accuracy 15.0%, cross entropy 2.403614
INFO:tensorflow:Step #118: rate 0.001000, accuracy 14.0%, cross entropy 2.429294
INFO:tensorflow:Step #119: rate 0.001000, accuracy 10.0%, cross entropy 2.413015
INFO:tensorflow:Step #120: rate 0.001000, accuracy 12.0%, cross entropy 2.426977
INFO:tensorflow:Step #121: rate 0.001000, accuracy 20.0%, cross entropy 2.375734
INFO:tensorflow:Step #122: rate 0.001000, accuracy 18.0%, cross entropy 2.361796
INFO:tensorflow:Step #123: rate 0.001000, accuracy 19.0%, cross entropy 2.408216
INFO:tensorflow:Step #124: rate 0.001000, accuracy 14.0%, cross entropy 2.364502
INFO:tensorflow:Step #125: rate 0.001000, accuracy 17.0%, cross entropy 2.340946
INFO:tensorflow:Step #126: rate 0.001000, accuracy 18.0%, cross entropy 2.332110
INFO:tensorflow:Step #127: rate 0.001000, accuracy 16.0%, cross entropy 2.381465
INFO:tensorflow:Step #128: rate 0.001000, accuracy 18.0%, cross entropy 2.353498
INFO:tensorflow:Step #129: rate 0.001000, accuracy 14.0%, cross entropy 2.349037
INFO:tensorflow:Step #130: rate 0.001000, accuracy 16.0%, cross entropy 2.392067
INFO:tensorflow:Step #131: rate 0.001000, accuracy 16.0%, cross entropy 2.425411
INFO:tensorflow:Step #132: rate 0.001000, accuracy 15.0%, cross entropy 2.464031
INFO:tensorflow:Step #133: rate 0.001000, accuracy 15.0%, cross entropy 2.398915
INFO:tensorflow:Step #134: rate 0.001000, accuracy 15.0%, cross entropy 2.377031
INFO:tensorflow:Step #135: rate 0.001000, accuracy 16.0%, cross entropy 2.411243
INFO:tensorflow:Step #136: rate 0.001000, accuracy 15.0%, cross entropy 2.418780
INFO:tensorflow:Step #137: rate 0.001000, accuracy 17.0%, cross entropy 2.416488
INFO:tensorflow:Step #138: rate 0.001000, accuracy 19.0%, cross entropy 2.440699
INFO:tensorflow:Step #139: rate 0.001000, accuracy 18.0%, cross entropy 2.375889
INFO:tensorflow:Step #140: rate 0.001000, accuracy 18.0%, cross entropy 2.377299
INFO:tensorflow:Step #141: rate 0.001000, accuracy 15.0%, cross entropy 2.388025
INFO:tensorflow:Step #142: rate 0.001000, accuracy 19.0%, cross entropy 2.427626
INFO:tensorflow:Step #143: rate 0.001000, accuracy 15.0%, cross entropy 2.446251
INFO:tensorflow:Step #144: rate 0.001000, accuracy 21.0%, cross entropy 2.339652
INFO:tensorflow:Step #145: rate 0.001000, accuracy 10.0%, cross entropy 2.465962
